ID,Place (x),Knowledge (y),Action (z),K5Name
3434,0.026,0.648,0.738,Science Policy
3446,-0.167,0.207,0.502,Science Policy
3472,-0.276,0.273,0.436,Science Policy
3473,-0.312,0.386,0.704,Science Policy
3488,-0.014,0.102,0.396,Science Policy
3499,-0.418,0.02,0.731,Science Policy
3511,-0.305,0.254,0.653,Science Policy
3512,-0.101,0.201,0.524,Science Policy
3516,0.181,0.445,0.074,Science Policy
3517,-0.269,0.012,0.624,Science Policy
3535,-0.234,0.397,0.747,Science Policy
3546,-0.299,0.307,0.419,Science Policy
3549,-0.107,0.28,0.153,Science Policy
3558,-0.256,0.272,0.421,Science Policy
3563,0.284,0.568,0.59,Science Policy
3566,-0.358,0.05,0.388,Science Policy
3579,-0.436,0.19,0.788,Science Policy
3582,-0.037,0.121,0.245,Science Policy
3587,-0.237,0.174,0.453,Science Policy
3588,-0.374,0.002,0.473,Science Policy
3592,-0.133,0.621,0.668,Science Policy
3598,-0.013,0.258,0.252,Science Policy
3599,-0.3,0.136,0.433,Science Policy
3603,-0.107,0.129,0.284,Science Policy
3611,-0.175,0.248,0.528,Science Policy
3613,-0.503,0.125,0.754,Science Policy
3616,-0.038,0.356,0.142,Science Policy
3641,-0.394,0.307,0.521,Science Policy
3643,-0.142,0.152,0.555,Science Policy
3655,-0.294,0.112,0.494,Science Policy
3678,-0.217,0.051,0.25,Science Policy
3679,-0.316,0.087,0.432,Science Policy
3692,-0.099,0.162,0.317,Science Policy
3708,-0.245,0.237,0.381,Science Policy
3722,-0.161,0.009,0.361,Science Policy
3724,-0.254,0.246,0.344,Science Policy
3731,-0.255,0.266,0.541,Science Policy
3732,-0.547,0.025,0.652,Science Policy
3734,-0.308,0.244,0.338,Science Policy
3739,-0.431,0.348,0.724,Science Policy
3757,-0.05,0.204,0.545,Science Policy
3759,-0.181,0.187,0.337,Science Policy
3830,0.158,0.289,0.126,Science Policy
3844,-0.085,0.072,0.456,Science Policy
3871,-0.238,0.484,0.327,Science Policy
